n_stations,D,r_mec,D_over_2,kappa,covered,area
2,1897.1718889446918,948.5859444723459,948.5859444723459,1.0,True,30313.436588312157
2,2208.057803754551,1104.0289018772755,1104.0289018772755,1.0,True,7018.4375805105665
2,2606.2269656922786,1303.1134828461393,1303.1134828461393,1.0,True,56764.01881050041
2,1941.9804290476307,970.9902145238153,970.9902145238153,1.0,True,29165.919454360042
2,1951.3108153527655,975.6554076763828,975.6554076763828,1.0,True,30314.414506538567
2,1653.653601014819,826.8268005074095,826.8268005074095,1.0,True,19775.9481321011
2,2581.2128836232187,1290.6064418116093,1290.6064418116093,1.0,True,55655.802359933914
2,2651.3916470317363,1325.6958235158681,1325.6958235158681,1.0,True,41583.246044718646
2,2372.7552947493978,1186.3776473746989,1186.3776473746989,1.0,True,48857.033009794
2,2119.7614487807145,1059.8807243903573,1059.8807243903573,1.0,True,15428.234519453094
2,1644.1315789071032,822.0657894535516,822.0657894535516,1.0,True,22050.85943869036
2,1887.2591833185425,943.6295916592712,943.6295916592712,1.0,True,28163.761155700966
2,2091.2146171731133,1045.6073085865567,1045.6073085865567,1.0,True,29975.54394608841
2,2178.030943494312,1089.015471747156,1089.015471747156,1.0,True,32495.527654204707
2,2210.6034241337943,1105.3017120668972,1105.3017120668972,1.0,True,41561.0458127757
2,2189.5222677918773,1094.7611338959387,1094.7611338959387,1.0,True,37063.56197132258
2,2145.529949709659,1072.7649748548295,1072.7649748548295,1.0,True,35819.386897084965
2,2226.9194039871763,1113.4597019935882,1113.4597019935882,1.0,True,42789.56716243985
2,1953.8227516152028,976.9113758076014,976.9113758076014,1.0,True,32706.201333932728
2,2102.020623163068,1051.010311581534,1051.010311581534,1.0,True,36172.34073206083
2,2531.437771951857,1265.7188859759285,1265.7188859759285,1.0,True,53273.65345739359
2,1672.638298121573,836.3191490607865,836.3191490607865,1.0,True,19572.49283983124
2,2083.853327547588,1041.926663773794,1041.926663773794,1.0,True,34958.9098462106
2,1749.3338272530332,874.6669136265166,874.6669136265166,1.0,True,23765.82136031358
2,1788.7834639032371,894.3917319516186,894.3917319516186,1.0,True,17269.18739121915
2,1792.3039829511154,896.1519914755577,896.1519914755577,1.0,True,23258.39876494957
2,1541.7600361691623,770.8800180845811,770.8800180845811,1.0,True,20392.4426600806
2,1968.6065053862758,984.3032526931379,984.3032526931379,1.0,True,33519.73968412336
2,2112.8101273932207,1056.4050636966103,1056.4050636966103,1.0,True,32534.39241278122
2,2250.1248215877094,1125.0624107938547,1125.0624107938547,1.0,True,37591.515844096655
2,2300.851151647792,1150.425575823896,1150.425575823896,1.0,True,45577.48426924026
2,1657.2833067734007,828.6416533867003,828.6416533867003,1.0,True,8111.281083125476
2,1821.8071855270057,910.9035927635028,910.9035927635028,1.0,True,21073.66946062947
2,2381.1086470617515,1190.5543235308758,1190.5543235308758,1.0,True,44801.12460935738
2,2166.958150499373,1083.4790752496865,1083.4790752496865,1.0,True,39576.92724753948
